ID,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,total_days_stayed
25,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
79,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,7
23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,8
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8
53,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
37,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,9
97,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
157,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
26,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,10
100,0,0,1,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10
135,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,3,1,1,0,10
41,0,0,0,1,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,10
127,3,2,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,12
94,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,2,2,0,12
139,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,1,2,0,0,12
52,0,0,0,0,0,0,0,0,0,2,3,2,3,0,2,1,0,0,0,13
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,13
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,13
32,0,0,0,0,2,2,5,1,0,4,0,0,0,0,0,0,0,0,0,14
103,0,0,0,0,0,0,0,0,2,6,2,3,1,0,0,0,0,0,0,14
123,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,2,0,0,14
12,0,0,0,0,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0,14
72,0,1,1,0,0,0,0,0,0,6,0,2,5,1,0,0,0,0,0,16
147,0,0,0,3,0,0,2,0,1,2,0,0,0,2,2,3,1,1,0,17
163,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,3,6,18
129,0,0,0,0,0,0,0,1,4,7,6,1,0,0,0,0,0,0,0,19
167,0,0,0,0,0,0,0,7,7,4,1,0,0,0,0,0,0,0,0,19
13,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1,0,0,0,0,19
161,0,0,0,0,0,0,0,0,0,3,0,0,5,4,2,5,0,0,0,19
152,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,3,2,3,19
150,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,0,0,0,19
83,0,0,2,2,1,1,7,0,0,3,1,0,1,0,0,0,1,0,0,19
74,5,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
143,0,0,0,0,0,0,0,0,0,3,3,4,4,1,3,0,1,0,0,19
34,1,1,2,1,3,1,0,2,3,1,1,0,0,1,0,1,2,1,0,21
39,0,0,0,0,0,0,0,3,7,7,2,0,1,0,1,0,0,0,0,21
50,0,0,0,0,0,0,0,0,0,0,1,5,6,6,3,0,0,0,0,21
14,0,0,0,0,0,0,0,0,0,5,3,6,3,3,0,1,0,0,0,21
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,6,23
62,0,6,6,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,24
33,0,0,2,0,6,3,6,3,0,3,0,0,0,0,1,0,0,0,0,24
42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,4,6,24
104,0,0,0,0,0,0,0,0,0,0,6,7,6,4,1,0,0,0,0,24
66,4,2,6,5,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,25
182,0,0,0,0,1,7,7,7,0,3,0,0,0,0,0,0,0,0,0,25
126,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,0,4,5,6,25
124,6,3,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
49,0,0,4,4,1,2,2,0,1,2,2,0,0,1,2,0,5,1,0,27
93,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,28
153,0,0,5,4,5,7,5,3,0,0,0,0,0,0,0,0,0,0,0,29
119,0,0,0,0,0,0,0,0,0,6,6,6,4,4,3,3,0,0,0,32
178,0,0,0,0,2,0,0,0,0,2,2,2,1,5,1,5,3,3,6,32
92,0,0,0,0,0,0,0,0,0,0,0,5,4,5,7,4,5,2,0,32
140,0,0,0,0,0,0,0,0,5,1,4,5,3,3,2,4,3,2,2,34
